Tier/group,Business,Founded,Years open,Town,Category,Status,Scout angle,Confidence
100+ years — Centenarians,Miller & Martin,1867,159,"Chattanooga, TN",Law / professional,OPEN,Chattanooga's oldest law firm; early clients included the original Coca-Cola bottler. Angle: the firm that lawyered the handshake that built a global beverage system.,High
100+ years — Centenarians,Fischer Evans Jewelers,1869,157,"Chattanooga, TN",Retail — jewelry,OPEN,"The oldest independently owned retail store in the city, same Market St. block since 1869, now 3rd-gen Glover family. Angle: the engagement-ring counter that has seen five generations of the same families propose.",High
100+ years — Centenarians,Chattanooga Times Free Press,1869,157,"Chattanooga, TN",Media,OPEN,"A 20-year-old Adolph Ochs bought it in 1878 before going on to The New York Times; cut to Sunday-only print Jan 2026. Angle: handled carefully — we're the new kid; tip the cap to the paper of record, don't pick a fight.",High
100+ years — Centenarians,Read House Hotel,1872,154,"Chattanooga, TN",Hospitality,OPEN,"The longest continuously operated hotel in the South (150 yrs in 2022); current tower is 1926. Angle: the ghost-story/room-311 lore + the jazz-era lobby, not the press-release renovation.",High
100+ years — Centenarians,Chambliss Center for Children,1872,154,"Chattanooga, TN",Childcare / nonprofit,OPEN,"Started by church women as an orphans' home; ran 24-hour childcare when working mothers had nowhere else. Angle: the quiet 150-yr institution nobody writes about — a giving/volunteer tie-in, not a 'cute history' piece.",High
100+ years — Centenarians,"Leitner, Williams, Dooley & Napolitan",1882,144,"Chattanooga, TN",Law / professional,OPEN,Founding partner W.G.M. Thomas incorporated the town of Lookout Mountain and represented it pro bono for life. Angle: the lawyer who gave a whole town away.,Med
100+ years — Centenarians,Adams Lithographing,1886,140,"Chattanooga, TN",Printing,OPEN,"Installed the city's first rotary press (1935); 3rd-gen Hogue family. Angle: 'Who Made This' — the ink behind a century of Chattanooga's posters, packaging, and programs.",Med
100+ years — Centenarians,Erlanger Health System,1899,127,"Chattanooga, TN",Healthcare,OPEN,"Born from a French baron's $5,000 gift; region's first open-heart surgery (1960). Angle: 'where Chattanooga was born' — generations literally delivered here. (Verify the current Erlanger name/governance — see status pass.)",High
100+ years — Centenarians,Chattanooga Bakery / MoonPie,1902,124,"Chattanooga, TN",Food mfg. / retail,OPEN,"Bakery OPEN, ~1M+ MoonPies/day, 5th-gen, still independent — the Broad St. General Store closed/relocated May 2025 (confirm new riverfront address). COMMODITY: everyone covers the MoonPie. New angle only: the bakery floor, the family, or the store's move — not the origin myth again.",High
100+ years — Centenarians,Fort Payne Opera House,1889,137,"Fort Payne, AL",Entertainment / venue,OPEN,"Oldest in-use theater in Alabama, built in the coal-and-iron boom. Angle: a Getaway Field Guide tie-in (Fort Payne / Little River Canyon day trip).",Med
100+ years — Centenarians,Chattanooga Choo-Choo,1909,117,"Chattanooga, TN",Hospitality / entertainment,OPEN,"Terminal Station 1909 → hotel/entertainment complex 1973; now the Hotel Chalet. COMMODITY: heavily covered. New angle only: a specific room, venue, or person inside, never the 'famous song' lede.",High
100+ years — Centenarians,Fillauer,1914,112,"Chattanooga, TN",Healthcare / prosthetics,OPEN,"Started as the Red Cross Pharmacy; pivoted to fitting braces for WWI vets, now a global prosthetics leader (acquired by Hanger Inc., Feb 2024, still operating under its own name here). Angle: a maker-of-mobility human story — a local patient who walks because of a 110-yr-old neighbor company.",Med
100+ years — Centenarians,Zarzour's Café,1918,108,"Chattanooga, TN",Restaurant,SOLD,"TN's longest-running family restaurant — opened in the 1918 flu year, never moved. SOLD late 2025; new owners pledged to keep the name and reopen after renovation. COMMODITY + sensitive: only cover the reopening, with respect for the Zarzour/Fuller legacy. (Per our once-rule, don't lean on it.)",High
100+ years — Centenarians,Hamilton Health Care System,1921,105,"Dalton, GA",Healthcare,OPEN,"Founded after the 1918 flu with Crown Cotton Mills money; first GA hospital certified for Medicare. Angle: a Dalton/North-GA reader-service piece, not a Chattanooga story.",Med
100+ years — Centenarians,Ruby Falls,1930,96,"Chattanooga, TN",Tourism / attraction,OPEN,"85-ft underground waterfall, discovered 1928, open since 1930; named for Leo Lambert's wife. COMMODITY: the #1 paid attraction — tourists' turf. Skip unless a genuinely new angle (a guide, a night tour, the geology).",High
100+ years — Centenarians,Rock City Gardens,1932,94,"Lookout Mountain, GA",Tourism / attraction,OPEN,"'See Rock City' barns (from 1935) are Americana; approaching its centennial. COMMODITY: don't do the barns again. Possible angle: the people who still paint/maintain them, or Frieda Carter's fairy-tale design.",High
100+ years — Centenarians,McKee Foods / Little Debbie,1934,92,"Collegedale, TN",Food mfg. / retail,OPEN,"From cakes sold off a 1928 Whippet to ~$1.9B, still family-owned; Little Debbie Park opened 2023. COMMODITY-ish: the brand is famous, the family is private. Angle: the bakery-store deals, the park, or a Collegedale day-out — local-service, not corporate history.",High
75+ years — Near-Centenarians,Wally's Restaurant,1937,89,"Chattanooga, TN",Restaurant — meat-and-three,OPEN,"Opened as a 1937 drive-in on McCallie, sit-down since 1972; walls papered in city history. Angle: a 'The Regular' profile — a booth, a waitress of 30 years, the Tuesday meatloaf crowd.",High
75+ years — Near-Centenarians,Brody Jewelers,1937,89,"Rossville, GA",Retail — jewelry,OPEN,"Began as the Rossville Pawn Shop (1937), now 4th-gen GIA-diamond jeweler 10 min from downtown. Angle: a satellite-town find — Rossville rarely gets the spotlight.",Med
75+ years — Near-Centenarians,Chattanooga Restaurant Supply,1948,78,"Chattanooga, TN",Food co-op (B2B-ish),OPEN,Six restaurant owners formed a co-op in 1948 — one of only two wholesale food co-ops in the nation. Angle: 'Who Made This' / the unseen plumbing behind every local kitchen you love.,Med
75+ years — Near-Centenarians,Bea's Restaurant,1950,76,"Chattanooga, TN",Restaurant — Southern buffet,OPEN,"Lazy-Susan family-style Southern food since 1950, now 5th generation; did $1 plates for its 75th in 2025. Angle: the lazy-Susan ritual itself — a sensory 'Last Call'/'Regular' piece.",High
75+ years — Near-Centenarians,Pruett's Market,1953,73,"Signal Mountain, TN",Grocery — independent,OPEN,"Signal Mountain's primary grocer since 1953; deli, bakery, sushi, craft beer — an independent that beat the chains. Angle: a satellite-town anchor; how a mountain town kept its own store.",High
50+ years — Established Veterans,Memo's Grill,1966,60,"Chattanooga, TN",Restaurant — hot dogs,OPEN,A 1966 landmark for chopped-wiener plates in thick chili with slaw on toast. Angle: the dish is the story — a 'The Dig' on the chopped-wiener lineage (vs. Columbus GA's scrambled dog).,Med
50+ years — Established Veterans,T.U. Parks Construction,1944,82,"Chattanooga, TN",Construction / services,OPEN,Oldest general contractor in greater Chattanooga (1944); built much of what you walk past. Angle: 'Building's Biography' partner — they can tell you what a building used to be.,Med
50+ years — Established Veterans,Pickle Barrel,1982,44,"Chattanooga, TN",Bar / restaurant,OPEN,"The city's oldest bar (1982) in the flatiron building at 1012 Market, food till 1:30am. Angle: the late-night institution — a 'Last Call' piece. (Note: 44 yrs — just shy of 50; include as 'approaching.')",Med
Closed — history only,Old Plantation Bar-Be-Que,1969,57,"Chattanooga, TN",Restaurant — BBQ,CLOSED,"Brick-pit takeout on Dodson Ave (1969), ran 50+ yrs before closing. Use only for history — a 'what was here' / The Dig reference, never a 'go visit.'",Med
Regional / edge,Bright Star Restaurant,1907,119,"Bessemer, AL",Restaurant,OPEN,"Alabama's oldest family restaurant (1907), James Beard 'America's Classic.' Use only as a Getaway Field Guide stop on a Birmingham run — not a Chattanooga story.",Med
Regional / edge,The Partridge Restaurant,1933,93,"Rome, GA",Restaurant,CLOSED,Rome institution (1933) that closed ~2017-20; building bought 2023 to reopen as an event venue. Watch for a reopening; history-only for now.,Med
Regional / edge,Jack's Family Restaurants,1960,66,"Homewood, AL (regional)",Fast food,OPEN,"Regional chain (1960), 285+ locations; the Fort Payne store anchors the DeKalb corridor. Too chain-y for a feature; map context only.",High
Scout finds — hidden & satellite-town,Morgan Furniture,1909,117,"Dayton, TN",Retail — furniture,OPEN,Downtown Dayton furniture store; once delivered by horse-and-wagon and rented rooms to Scopes Trial journalists in 1925. Believed oldest family retailer in Rhea County. Angle: a Scopes-Trial-adjacent 'Building's Biography' + a Dayton day-trip.,High
Scout finds — hidden & satellite-town,Buddy's Shoe Repair,1917,109,"Hixson, TN",Cobbler — shoe repair,OPEN,"Three-generation Scallia-family cobbler (trade dates to 1906 Sicily); reportedly the area's only remaining shoe-repair shop, with a 4th gen training in. Angle: 'Who Made This' — an endangered craft, the last cobbler.",High
Scout finds — hidden & satellite-town,Beaty Hardware (Beaty Feed & Hardware),1936,90,"Cleveland, TN",Hardware / feed store,OPEN,"Started as a one-room feed store (1936), added hardware in 1952; reportedly Cleveland's oldest hardware store. Angle: the unglamorous farm-town institution — feed, lawn & garden, and old-timers' advice.",High
Scout finds — hidden & satellite-town,The Chef,1967,59,"Cleveland, TN",Diner / drive-in,OPEN,The last surviving original Burger-Chef building still serving; home of 'Hot Slaw' (now TN's official state food); says it has never closed a day since 1967. Angle: the dish + the building — a Cleveland day-trip and a 'The Dig' on Hot Slaw.,High
Scout finds — hidden & satellite-town,Sliger's Jewelers,1946,80,"Athens, TN",Retail — jewelry,OPEN,"Family-owned downtown Athens jeweler — custom rings, watch & jewelry repair — 70+ years on E. Washington Ave. Angle: a satellite-town counter nobody outside Athens writes about.",High
Scout finds — hidden & satellite-town,Joy's Flowers (Joy Floral Co.),1915,111,"Chattanooga, TN",Retail — florist,OPEN,"Among the South's oldest florists (lineage to 1877, retail shop ~1915) on McCallie Ave, with a historical marker. Angle: the flowers behind a century of local weddings & funerals — slightly more 'known,' so needs a fresh thread.",Med
Scout finds — hidden & satellite-town,Oakwood Cafe,1915,111,"Dalton, GA",Diner / meat-and-three,OPEN,"Long-running Southern comfort-food diner on W. Cuyler St; the Metcalf family took over an already-30-yr-old cafe in the 1940s (founding ~1910s, year approx — verify). Angle: a meat-and-three that outlasted the carpet boom.",Med
Scout finds — hidden & satellite-town,Professional Pharmacy,1961,65,"Dalton, GA",Independent pharmacy,OPEN,"Family-owned independent drugstore, open 365 days/yr with county-wide delivery, 60+ years (founding decade confirmed; exact 1961 not nailed down). Angle: the independent that outlived the chains in a satellite town.",Med
Scout finds — hidden & satellite-town,Access Family Pharmacy,1955,71,"Hixson, TN",Independent / compounding pharmacy,OPEN,Locally owned compounding & medical-supply pharmacy on Hixson Pike (sources disagree: 1955 vs 1959; changed hands 1990). VERIFY founding year before featuring. Angle: a neighborhood compounding druggist.,Low
