Category,Business,Person,Area,Story angle,Source,Confidence,Flagship
Restaurants & Chef-Owners,Calliope,Khaled Albanna — chef & co-owner,Downtown/Southside,"Amman-born, came to UTC for civil engineering, switched to cooking; modern Levantine-meets-South named among the NYT's top 50 U.S. restaurants.",https://www.callioperestaurant.com/about,High,Yes
Restaurants & Chef-Owners,Alleia,Daniel Lindley — chef-owner,Southside (Main St),"Native Chattanoogan who started at 17 as a dishwasher, cooked around the world, opened Alleia in 2009; multiple James Beard nominee.",https://alleiarestaurant.com/about-2/,High,Yes
Restaurants & Chef-Owners,Little Coyote,Erik & Amanda Niel — owners,St. Elmo,Chef Niel's Texas 'love letter' — wood-pit smoke and fresh tortillas; Michelin Bib Gourmand. (Same owners as Easy Bistro & Main Street Meats.),https://littlecoyote.com/st-elmo-restaurant-chattanooga-tennessee,High,
Restaurants & Chef-Owners,Hello Monty,Rob & Clay Gentry — owners (brothers),Southside (Main St),"A veteran restaurateur and an award-winning brewmaster, lifelong locals, opened a wood-fired spot named for a beloved local booster.",https://www.hellomontyonmain.com/our-story,High,
Restaurants & Chef-Owners,Boathouse Rotisserie & Raw Bar,Lawton & Karen Haygood — owners,Northshore (Riverside Dr),"Found a riverfront lot, tore it down, and 'spent all the money they had' to build a Tennessee River institution.",https://www.boathousechattanooga.com/about-us/,High,
Restaurants & Chef-Owners,1885 Grill,Miguel Morales — owner,St. Elmo / multiple,SC-raised son of a Puerto Rican father; coastal-Southern-meets-Spanish; known for saving ~460 jobs through the pandemic. (Verify current address.),https://1885grill.com/our-story,High,
Restaurants & Chef-Owners,The Tap House,Chris Calhoun — owner,St. Elmo,A 20-year Marine Corps veteran who came home to open a veteran-owned beer bar and kitchen (2017).,https://taphousechatt.com/chattanooga-chattanooga-the-tap-house-about,Med,
Restaurants & Chef-Owners,Elsie's Daughter,Chloe Wright & Ryan Smith — owners,Southside (Choo Choo),Wright's father ran a restaurant on the Choo Choo campus in the '80s; she performed there as a teen — now her own bistro/cocktail bar (Smith built the bar program after NYC's The Wren).,https://www.elsiesdaughters.com/,High,
"Bars, Breweries & Distilleries",Chattanooga Whiskey,Tim Piersant — co-founder/CEO (w/ Joe Ledbetter),Downtown,Led the grassroots 'Vote Whiskey' campaign that overturned a century-old local distilling ban; built the first legal Chattanooga distillery in ~100 years. 'Whiskey to the People.',https://chattanoogawhiskey.com/history/,High,Yes
"Bars, Breweries & Distilleries",Gate 11 Distillery,Bill & Wanda Lee — founders,Southside (Choo Choo),"A Sequatchie Valley native and former chemical engineer turned distiller; his retired-schoolteacher wife formulates their award-winning gin, inside historic Terminal Station.",https://www.gate11distillery.com/story,High,
"Bars, Breweries & Distilleries",Hutton & Smith Brewing,Joel & Melanie Krautstrunk — owners,Southside (E. MLK),Husband-and-wife who relocated from Las Vegas to open a brewery (2015); outdoor-adventure branding tied to local climbing/hiking.,https://huttonandsmithbrewing.com/about-us/our-team/,High,
"Bars, Breweries & Distilleries",Naked River Brewing,Jake Raulston & Nathan Woods — co-founders,Southside,"Hometown engineer-turned-brewer built the kid-/dog-friendly brewery-plus-BBQ he felt the city lacked, in an 1875 trolley-car factory.",https://noogatoday.6amcity.com/culture/the-history-of-naked-river-brewing-co,High,
"Bars, Breweries & Distilleries",WanderLinger Brewing,Mike & Chris Dial — brothers,Downtown (Station St),"Built around a backpacking philosophy — 'wander some, linger some' — pairing beer with live music and local art.",https://www.wanderlinger.com/,High,
"Bars, Breweries & Distilleries",OddStory Brewing,Jay Boyd — owner/head brewer,Highland Park / Central Ave,"Alabama transplant who built a true family business (father and wife work alongside him); 'Drink Ours, Tell Yours.'",https://cityscopemag.com/city-scope/behind-the-brew/,High,
"Bars, Breweries & Distilleries",Chattanooga Brewing Co.,Mark Marcum & Jonathan Clark — co-founders,Downtown (Chestnut St),Two homebrewers revived the name of the original 1890 brewery killed by Prohibition — reclaiming the city's lost brewing heritage.,https://www.chattabrew.com/history,High,
"Bars, Breweries & Distilleries",Five Wits Brewing,"Nate Michaels, Elliot Kehoe & Bryan Harris",Southside (Long St),A Chattanooga native lured two veteran Great Divide (Denver) brewers back home to start a local brewery.,https://fivewitsbrewing.com/,High,
"Bars, Breweries & Distilleries",Matilda Midnight (The Dwell Hotel),Seija Ojanpera — owner,Downtown (E. 10th St),"Bought a 110-year-old building in 2015 and reimagined it as a mid-century-modern boutique hotel with a dark, tiki-leaning cocktail lounge.",https://matildamidnight.com/,High,
"Coffee, Bakeries & Food Makers",Mad Priest Coffee,Michael & Cherita Rice — co-founders,Downtown (McCallie),"Founded 2015 after meeting displaced refugees abroad; mission to 'champion the displaced' — a co-owner, Tarig Idris, was a Sudanese refugee and their first employee.",https://madpriestcoffee.com/pages/about-us,High,Yes
"Coffee, Bakeries & Food Makers",Velo Coffee Roasters,Andrew & Jessica Gage — owners,Downtown/Southside,Named for the French word for 'bike' — Andrew delivered fresh-roasted beans by bicycle in the early days (2010); college sweethearts.,https://dailycoffeenews.com/2014/09/08/inside-velo-coffee-roasters-growing-specialty-coffee-in-chattanooga/,High,
"Coffee, Bakeries & Food Makers",Goodman Coffee Roasters,Ian Goodman — founder,Warehouse Row / St. Elmo,"Opened his first shop at 22 in 1996, sold it, then returned to roasting in 2016 — a third-wave pioneer's comeback.",https://www.goodmancoffeeroasters.com/about,High,
"Coffee, Bakeries & Food Makers",Niedlov's Bakery & Café,Erik & Lauren Zilen — owners,Southside (E. Main),"The city's cornerstone sourdough bakery; the Zilens hire people coming out of prison, compost ~1,300 lbs/month, and give away thousands of loaves.",https://niedlovs.com/about-us,High,Yes
"Coffee, Bakeries & Food Makers",Chattanooga Bakery (MoonPie),Family-owned (heritage; no single owner),Downtown,"The 100+ year home of the MoonPie, invented 1917 when a miner asked for a snack 'as big as the moon.' Best as a heritage/centennial piece.",https://www.moonpie.com/about/index.html,High,
"Coffee, Bakeries & Food Makers",Alchemy Spice Co.,Henry & John Oehmig — owner-brothers,Chattanooga,"Longtime fans who bought the small-batch spice-blend brand and now run it together — 'two brothers, one passion.'",https://www.alchemyspicecompany.com/pages/about-us,High,
"Coffee, Bakeries & Food Makers",The Hot Chocolatier,Wendy & Brandon Buckner — owners,Chattanooga,Husband-and-wife shop (since 2008); Wendy trained at Chicago's French Pastry School and makes handmade chocolates in small batches.,https://thehotchocolatier.com/pages/about-us,High,
"Coffee, Bakeries & Food Makers",Cocoa Asante,Ella Livingston — founder,Chattanooga,Self-taught chocolatier and former math teacher; a viral 2018 TikTok launched her bonbons — now working toward sourcing cacao from her family's farm in Ghana.,https://www.cocoaasante.com/our-story-2,High,Yes
"Coffee, Bakeries & Food Makers",Noke's Granola,Luther Cutchins — owner,Chattanooga Market,"Brothers started making granola for their catering business; after Ryan 'Noke' died, Luther kept it going in his memory. (Verify current ops.)",https://www.instagram.com/nokesgranola/,Med,
"Coffee, Bakeries & Food Makers",Belle Chocolates,Brendan Patrick — owner,Northshore,Crafts chocolates from his Northshore kitchen — a solo 'candy man' kitchen-to-counter story. (Verify still operating.),https://www.timesfreepress.com/news/2021/feb/06/candy-man-founder-belle-chocolates-puts-hhear/,Med,
"Retail, Boutiques & Creative Services",Embellish Collection,Ann Trammell Newton — owner,Downtown (Warehouse Row),"A longtime customer who'd worked in NYC with von Furstenberg, de la Renta and Vince Camuto bought her favorite Chattanooga boutique in 2021 — a full-circle clothing story.",https://www.timesfreepress.com/news/2021/jun/01/embellish-boutique/,High,Yes
"Retail, Boutiques & Creative Services",Anna Ball White,Trish Foy — owner,Hamilton Place area,"A second-generation boutique founded in 1955; the founder's daughter now runs it, blending an interior-design eye into personal styling.",https://www.annaballwhite.com/about,High,
"Retail, Boutiques & Creative Services",Belle Rive Boutique,Silvinia Peralta-Ramos — owner,Northshore,"Owner-curated womenswear known for warm, personal service. (Owner name from a listing site — verify.)",https://evendo.com/locations/tennessee/chattanooga/northshore/shop/belle-rive-boutique,Med,
"Retail, Boutiques & Creative Services",Locals Only Gifts & Goods,Danielle Landrum — founder (w/ Eric),Northshore,Began assembling baskets of local products for her realtor husband's clients; now stocks 130+ TN makers and won a 2026 Shopify Milestone Award.,https://www.timesfreepress.com/news/community/story/2018/mar/07/locals-only/465199/,High,Yes
"Retail, Boutiques & Creative Services",I Go Tokyo,Margaret Armour — owner (w/ Etsuko Lammon),Northshore (Frazier Ave),"Born from a 2016 trip to Japan; the pair fly there 2–3x a year to hand-source linens, ceramics, and stationery unavailable in the U.S.",https://www.chattanoogan.com/2020/10/1/416078/Shopping-Trips-To-Japan-Provide-Unique.aspx,High,
"Retail, Boutiques & Creative Services",Sophie's Shoppe,Tamara Dillard & Veronica Deck — co-owners,Northshore & Downtown,"Grew from pop-ups and flower arrangements into a 20-year institution championing local makers across home, art, and gifts.",https://sophiesshoppe.com/pages/our-shoppe,High,
"Retail, Boutiques & Creative Services",The Book & Cover,"Emily Lilley, Blaes Green & Sarah Jackson",North Chattanooga,Three best friends and natives crowd-built their dream indie bookshop — a friendship-to-storefront origin.,https://www.timesfreepress.com/news/2023/feb/01/north-chattanooga-independent-book-shop-the-book/,High,
"Retail, Boutiques & Creative Services",Yellow Racket Records,Ben Vanderhart — founder,Chattanooga,"Started as a record label in 2018 (named for his collie), opened the shop in 2020, now stocking 15,000+ records.",https://yellowracketrecords.com/,High,
"Retail, Boutiques & Creative Services",Dallos Vinyl Love,Marlo White — owner,Downtown (Market St),"A transplant who moved to Chattanooga in 2020; a curated soul/funk/jazz/hip-hop vinyl passion project, opened 2025.",https://www.timesfreepress.com/news/2025/jun/11/dallos-vinyl-love-brings-record-store-to-market/,High,
"Retail, Boutiques & Creative Services",Joli Jardin,Becca Coleman & Erin Leonard — owners,Signal Mtn (farm) + Downtown,"Two women run a sustainable cut-flower farm supplying their own downtown shop — 'farm-to-vase,' scaled up from 100+ pop-ups.",https://jolijardin.co/,High,
"Retail, Boutiques & Creative Services",INK MXR Tattoo Studio,Josh Hansen — owner/artist,Chattanooga,Founded his custom-tattoo studio in 2022 and began mentoring the next generation (took on an apprentice in 2025).,https://inkmxr.com/,Med,
"Retail, Boutiques & Creative Services",All City Barber Co.,Kristin Gonzalez — owner,Southside,Moved from Sacramento at 19 and opened her own unisex barbershop by 23 — a young female owner in a male-dominated trade. (Story from 2016; verify.),https://www.timesfreepress.com/news/edge/story/2016/sep/01/new-all-city-barber-co-southside-unisex-cater/383797/,Med,
"Home Builders, Makers & Craftspeople",Collier Construction,Ethan Collier — founder/CEO,Chattanooga,"Grew up here; a LEED-accredited builder who pioneered green building and urban infill before it was fashionable, with multiple LEED Platinum projects.",https://www.collierbuild.com/our-story,High,Yes
"Home Builders, Makers & Craftspeople",River Stone Construction,Dustin Wong — president/co-owner,Chattanooga,Named HBA of Greater Chattanooga 'Home Builder of the Year' (2019); partnership pairs a builder with a broker/investor. (Verify details.),https://riverstone-homes.com/about/,Med,
"Home Builders, Makers & Craftspeople",Tristar Custom Homes,Collette Branham — owner,Chattanooga,"A second-generation builder who learned the trade from her father — a woman-owned custom builder, uncommon in the field. (Verify name.)",https://www.tristarcustomhomes.com/,Med,
"Home Builders, Makers & Craftspeople",Boreal Woodworks,Nathan Kolb — founder (w/ Nate Penman),North Chattanooga,"Chattanooga Woodworking Academy grad who apprenticed under a master; builds heirloom furniture from Appalachian hardwoods (TFP profile, 2026).",https://www.borealwoodworks.com/about,High,Yes
"Home Builders, Makers & Craftspeople",Forman Pottery,John-Michael Forman — owner/potter,St. Elmo,Snuck into the college art studio to teach himself; grew a basement hobby into a full-time studio making thousands of functional pieces a year.,https://www.formanpottery.com/about/,High,
"Home Builders, Makers & Craftspeople",Bean and Bailey Ceramics,Anderson Bailey & Jessie Bean Goodman,Highland Park,Met in the glass studio at the Appalachian Center for Craft and launched in 2013 on a CreateHere ArtsMove grant — a craft-school love-and-business story.,https://www.beanandbaileyceramics.com/the-makers,High,
"Home Builders, Makers & Craftspeople",Nooga Leatherworks,Stan Daniel — owner,Chattanooga,Left an engineering career to handcraft one-of-a-kind leather goods — a classic maker career-pivot (NewsChannel 9 profile).,https://newschannel9.com/features/made-in-our-hometown/nooga-leatherworks-owner-makes-one-of-a-kind-items-from-leather,Med,
Farms & Farmers,Sequatchie Cove Farm,The Keener family (Bill & Miriam; Kelsey & Ashley),Sequatchie Cove (Marion Co.),Four generations on 300 regenerative acres; the creamery's raw-milk 'Dancing Fern' is a nationally recognized Tennessee farmstead cheese.,https://www.sequatchiecovefarm.com/philosophy,High,Yes
Farms & Farmers,Riverview Farms,"The Swancy family (Wes, Brad & Drew)",NW Georgia (Main St Mkt),Sons converted the family hog-and-corn farm to certified-organic in 2000 to save it; Brad stone-mills heirloom grits from farm-grown corn.,https://grassfedcow.com/our-story,High,
Farms & Farmers,Southerly Flower Farm,Matthew & Sarah Ervin — owners,Bledsoe County,"A husband-and-wife team who built a sustainable cut-flower farm from scratch 'with no experience,' now supplying markets, CSAs, and weddings. (Verify names.)",https://southerlyflowerfarm.com/about/,Med,
"Outdoor, Adventure & Founders",Synergy Climbing and Ninja,Lisa Rands & Isaac Caldiero — co-founders,Southside (E. Main),A world-champion boulderer and the first million-dollar 'American Ninja Warrior' winner built a community gym in their adopted hometown.,https://synergyclimbingandninja.com/our-story/,High,Yes
"Outdoor, Adventure & Founders",High Point Climbing & Fitness,Johnny O'Brien & John Wiygul — founders,Downtown,Friends who met after a 2005 triathlon built the gym Climbing Magazine called the 'coolest in the country' — glass walls over Broad St — then a regional brand.,https://climbingbusinessjournal.com/southern-climbing-reaches-its-high-point/,High,
"Outdoor, Adventure & Founders",Suck Creek Cycle,Mike Skiles — owner,Northshore,A '70s BMX racer who 'swept floors' into the trade and has run the city's premier mountain-bike shop for nearly 30 years.,https://www.wdef.com/driving-our-economy-forward-suck-creek-cycle/,High,
"Outdoor, Adventure & Founders",Two Bikes Chattanooga,Mitchell Connell — founder/ED,Chattanooga,A nonprofit bike shop that donates a bike for every one sold and runs paid internships for at-risk youth — retail meets mission.,https://www.dayfirepodcast.com/ep-246-mitchell-connell-/-two-bikes-chattanooga/,High,Yes
"Outdoor, Adventure & Founders",Brev.dev (now NVIDIA Brev),Nader Khalil — co-founder/CEO,Brickyard,First Brickyard exit: came because 'Brickyard was the only investor that wanted to meet in person'; built a GPU dev-tools startup NVIDIA acquired in 2024.,https://chattanoogachamber.com/from-brickyard-to-the-bay-brev-dev-acquired-by-nvidia/,High,
"Outdoor, Adventure & Founders",Brickyard,Cameron Doody & Matt Patterson — co-founders,Southside (rug warehouse),Bellhop co-founders who require startups to relocate to Chattanooga and work in person until $1M revenue — the people building the scene itself.,https://hypepotamus.com/startup-news/chattanooga-brickyard-international-founders/,High,
"Outdoor, Adventure & Founders",FreightWaves,Craig Fuller — founder/CEO,Chattanooga,"Third-generation trucking family member who built the 'Bloomberg of freight,' cementing Chattanooga as the 'Silicon Valley of trucking.'",https://www.thelogisticsoflogistics.com/repost-why-chattanooga-is-the-silicon-valley-of-trucking-with-craig-fuller/,High,
